,stock,indicator,date
0,DCHCARE,all-time-high,2023-08-15
1,KRONO-WA,all-time-high,2023-08-15
2,GLXT [N/A],all-time-high,2023-08-15
3,UTILITIES,all-time-high,2023-08-15
4,WCEHB-WF [NS],all-time-high,2023-08-15
5,CAPITALA-WA,all-time-high,2023-08-15
6,CAB-WB,all-time-high,2023-08-15
